from_stop_id,to_stop_id,transfer_type,min_transfer_time
105,197,2,157.0
105,458,2,134.3
107,1776,2,38.7
108,324,2,111.4
109,110,2,118.8
109,123,2,49.6
110,109,2,118.8
110,111,2,126.5
110,123,2,160.1
111,110,2,126.5
111,1837,2,158.8
112,1836,2,159.0
112,7016,2,81.3
112,7033,2,130.5
113,4763,2,154.0
118,119,2,156.3
118,528,2,98.8
118,7037,2,37.7
119,118,2,156.3
119,328,2,115.7
119,528,2,83.0
121,326,2,136.1
121,327,2,126.6
121,7035,2,129.7
123,109,2,49.6
123,110,2,160.1
123,324,2,139.8
125,322,2,141.5
126,127,2,143.3
126,321,2,111.8
127,126,2,143.3
127,321,2,157.1
127,1209,2,137.7
128,1940,2,16.9
130,219,2,96.3
130,227,2,121.7
130,1926,2,104.8
131,218,2,26.5
131,219,2,130.5
132,216,2,125.4
132,217,2,39.7
133,215,2,27.6
134,214,2,20.7
134,215,2,159.6
135,213,2,22.2
136,137,2,118.2
136,211,2,109.2
136,212,2,20.7
137,136,2,118.2
137,211,2,19.6
137,212,2,129.2
138,210,2,47.6
139,208,2,156.5
139,209,2,80.8
141,207,2,33.3
142,143,2,147.5
142,206,2,28.3
143,142,2,147.5
143,205,2,106.3
143,206,2,141.2
144,204,2,21.7
144,205,2,148.4
145,203,2,21.6
146,202,2,13.6
147,201,2,48.9
148,200,2,24.8
149,199,2,16.7
150,198,2,49.5
151,197,2,32.5
152,153,2,154.2
152,156,2,133.4
152,194,2,147.3
152,195,2,38.1
152,196,2,143.4
152,458,2,158.2
153,152,2,154.2
153,194,2,21.4
153,195,2,116.6
154,193,2,64.6
155,192,2,77.8
156,152,2,133.4
156,196,2,14.0
156,458,2,43.9
157,2180,2,75.6
157,4266,2,107.3
158,4264,2,129.3
158,4265,2,83.2
159,4264,2,80.1
160,4263,2,133.6
161,4261,2,21.3
163,4258,2,138.0
163,4259,2,108.5
164,4258,2,57.0
165,4257,2,72.2
166,4256,2,45.9
167,4255,2,48.6
168,4249,2,38.4
169,4253,2,40.0
170,4252,2,47.0
171,4251,2,55.8
172,504,2,115.1
172,4250,2,154.2
173,4248,2,21.0
175,262,2,43.7
178,259,2,29.6
179,258,2,61.5
180,181,2,118.8
180,257,2,24.1
181,180,2,118.8
181,257,2,137.0
182,183,2,150.9
182,254,2,123.0
182,255,2,95.2
183,182,2,150.9
183,254,2,34.2
184,185,2,161.7
184,252,2,138.8
184,253,2,39.4
185,184,2,161.7
185,251,2,152.8
185,252,2,35.6
186,251,2,114.4
187,250,2,73.3
189,248,2,35.9
190,247,2,19.9
191,246,2,16.4
192,155,2,77.8
193,154,2,64.6
194,152,2,147.3
194,153,2,21.4
194,195,2,109.2
195,152,2,38.1
195,153,2,116.6
195,194,2,109.2
196,152,2,143.4
196,156,2,14.0
196,458,2,30.7
197,105,2,157.0
197,151,2,32.5
198,150,2,49.5
199,149,2,16.7
200,148,2,24.8
201,147,2,48.9
202,146,2,13.6
203,145,2,21.6
204,144,2,21.7
205,143,2,106.3
205,144,2,148.4
206,142,2,28.3
206,143,2,141.2
207,141,2,33.3
208,139,2,156.5
209,139,2,80.8
210,138,2,47.6
211,136,2,109.2
211,137,2,19.6
211,212,2,117.7
212,136,2,20.7
212,137,2,129.2
212,211,2,117.7
213,135,2,22.2
214,134,2,20.7
215,133,2,27.6
215,134,2,159.6
216,132,2,125.4
216,217,2,158.3
217,132,2,39.7
217,216,2,158.3
218,131,2,26.5
218,219,2,145.4
219,130,2,96.3
219,131,2,130.5
219,218,2,145.4
221,222,2,131.6
222,221,2,131.6
222,7090,2,92.8
222,7095,2,135.1
223,414,2,137.7
223,415,2,140.3
223,7090,2,86.8
225,327,2,161.3
225,7013,2,84.5
225,7036,2,134.9
226,326,2,150.7
226,455,2,128.7
226,7014,2,121.3
227,130,2,121.7
227,1925,2,91.0
229,976,2,94.5
229,1058,2,101.7
229,1059,2,158.5
229,1924,2,37.2
230,231,2,124.2
230,1059,2,147.4
230,1922,2,89.2
230,1923,2,49.0
231,230,2,124.2
231,1922,2,36.5
232,1921,2,25.5
232,7018,2,149.0
232,7031,2,52.0
233,380,2,151.6
233,1919,2,63.2
233,1920,2,70.8
233,2246,2,51.3
234,1918,2,84.9
235,1917,2,52.3
236,1916,2,67.9
236,2569,2,122.5
236,2628,2,122.4
241,7003,2,102.6
241,7046,2,18.3
242,4441,2,150.8
246,191,2,16.4
247,190,2,19.9
248,189,2,35.9
249,1000,2,60.6
249,1033,2,77.5
250,187,2,73.3
251,185,2,152.8
251,186,2,114.4
252,184,2,138.8
252,185,2,35.6
253,184,2,39.4
254,182,2,123.0
254,183,2,34.2
255,182,2,95.2
257,180,2,24.1
257,181,2,137.0
258,179,2,61.5
259,178,2,29.6
260,425,2,61.2
261,262,2,155.7
262,175,2,43.7
262,261,2,155.7
264,4268,2,61.8
265,1570,2,113.2
281,413,2,124.5
281,414,2,148.4
282,7092,2,27.8
282,7093,2,85.1
284,7007,2,103.8
284,7042,2,148.1
284,9807,2,111.2
286,4019,2,139.5
287,489,2,119.7
288,290,2,16.9
288,291,2,33.0
288,307,2,27.1
288,316,2,42.0
288,7055,2,107.4
288,7076,2,33.1
290,288,2,16.9
290,291,2,24.3
290,307,2,15.1
290,316,2,28.4
290,7055,2,106.7
290,7076,2,48.0
291,288,2,33.0
291,290,2,24.3
291,307,2,37.3
291,316,2,13.9
291,7055,2,83.7
291,7076,2,50.5
297,445,2,83.2
297,446,2,145.6
297,5207,2,120.1
298,444,2,104.2
298,445,2,85.2
299,444,2,91.4
300,301,2,117.8
300,442,2,69.4
300,443,2,54.2
301,300,2,117.8
301,442,2,50.5
302,440,2,97.1
302,441,2,18.8
303,439,2,46.7
303,440,2,115.5
307,288,2,27.1
307,290,2,15.1
307,291,2,37.3
307,316,2,36.7
307,7055,2,120.8
307,7076,2,60.1
309,2635,2,161.2
309,2636,2,102.4
316,288,2,42.0
316,290,2,28.4
316,291,2,13.9
316,307,2,36.7
316,7055,2,89.4
316,7076,2,63.9
318,319,2,25.9
318,323,2,51.2
318,336,2,36.2
318,2764,2,105.5
318,7062,2,131.8
318,7069,2,68.4
319,318,2,25.9
319,323,2,37.0
319,336,2,46.1
319,2764,2,79.8
319,7062,2,110.5
319,7069,2,46.7
321,126,2,111.8
321,127,2,157.1
322,125,2,141.5
323,318,2,51.2
323,319,2,37.0
323,336,2,40.0
323,2764,2,71.9
323,7062,2,128.6
323,7069,2,24.5
324,108,2,111.4
324,123,2,139.8
324,325,2,147.1
324,1838,2,154.1
325,324,2,147.1
325,326,2,142.5
325,1838,2,101.2
325,7014,2,112.4
325,7035,2,118.5
326,121,2,136.1
326,226,2,150.7
326,325,2,142.5
326,327,2,132.8
326,7014,2,39.0
326,7035,2,47.2
327,121,2,126.6
327,225,2,161.3
327,326,2,132.8
327,7036,2,90.6
328,119,2,115.7
328,528,2,120.9
328,7013,2,139.0
328,7036,2,78.3
329,415,2,47.8
329,416,2,142.9
329,7037,2,149.4
329,7091,2,46.7
330,331,2,157.8
330,7090,2,136.2
330,7095,2,85.9
331,330,2,157.8
331,7095,2,75.4
333,409,2,52.7
334,408,2,54.0
334,1134,2,126.4
335,407,2,51.3
336,318,2,36.2
336,319,2,46.1
336,323,2,40.0
336,2764,2,110.6
336,7062,2,155.9
336,7069,2,64.2
337,406,2,53.8
338,405,2,46.1
339,404,2,44.1
340,403,2,52.6
341,402,2,48.3
342,401,2,45.1
343,344,2,140.6
343,400,2,32.5
344,343,2,140.6
344,345,2,138.0
344,399,2,71.3
344,2648,2,115.8
345,344,2,138.0
345,398,2,81.3
345,399,2,68.2
345,2639,2,159.6
345,2648,2,52.8
345,5344,2,158.8
346,397,2,67.0
349,395,2,142.0
349,396,2,74.1
350,394,2,75.9
350,395,2,72.3
351,393,2,57.5
351,394,2,90.3
352,392,2,34.7
353,391,2,62.3
354,389,2,119.5
354,390,2,44.8
355,387,2,143.1
355,388,2,59.0
355,389,2,127.8
356,357,2,147.1
356,386,2,119.4
356,387,2,73.4
357,356,2,147.1
357,386,2,27.9
358,385,2,21.3
359,383,2,129.0
359,384,2,39.2
360,383,2,42.6
360,384,2,141.9
365,374,2,162.3
365,375,2,24.6
366,367,2,126.3
366,373,2,104.4
366,374,2,37.6
367,366,2,126.3
367,373,2,29.0
367,374,2,163.4
367,1757,2,154.7
368,372,2,28.1
369,371,2,63.6
369,1740,2,120.7
371,369,2,63.6
371,1740,2,57.5
371,1758,2,160.6
372,368,2,28.1
373,366,2,104.4
373,367,2,29.0
373,374,2,140.3
374,365,2,162.3
374,366,2,37.6
374,367,2,163.4
374,373,2,140.3
374,375,2,138.5
375,365,2,24.6
375,374,2,138.5
377,378,2,27.8
377,2755,2,55.9
377,7058,2,39.4
377,7073,2,91.0
377,9817,2,35.2
378,377,2,27.8
378,2752,2,139.0
378,2755,2,62.8
378,7058,2,19.8
378,7073,2,110.2
378,9817,2,52.6
380,233,2,151.6
380,1920,2,159.4
380,2245,2,61.4
383,359,2,129.0
383,360,2,42.6
383,384,2,100.8
384,359,2,39.2
384,360,2,141.9
384,383,2,100.8
385,358,2,21.3
386,356,2,119.4
386,357,2,27.9
387,355,2,143.1
387,356,2,73.4
387,388,2,146.7
388,355,2,59.0
388,387,2,146.7
388,389,2,83.8
389,354,2,119.5
389,355,2,127.8
389,388,2,83.8
390,354,2,44.8
391,353,2,62.3
392,352,2,34.7
393,351,2,57.5
393,394,2,141.3
394,350,2,75.9
394,351,2,90.3
394,393,2,141.3
394,395,2,146.9
395,349,2,142.0
395,350,2,72.3
395,394,2,146.9
396,349,2,74.1
397,346,2,67.0
398,345,2,81.3
398,399,2,148.3
398,2639,2,118.5
398,2648,2,116.6
399,344,2,71.3
399,345,2,68.2
399,398,2,148.3
399,2648,2,49.5
400,343,2,32.5
401,342,2,45.1
402,341,2,48.3
403,340,2,52.6
403,404,2,145.3
404,339,2,44.1
404,403,2,145.3
405,338,2,46.1
406,337,2,53.8
407,335,2,51.3
408,334,2,54.0
408,628,2,140.5
408,1134,2,101.4
408,7009,2,154.3
409,333,2,52.7
410,668,2,33.9
410,5305,2,51.8
411,2244,2,96.1
413,281,2,124.5
414,223,2,137.7
414,281,2,148.4
415,223,2,140.3
415,329,2,47.8
415,7091,2,76.9
416,329,2,142.9
416,417,2,137.4
416,7037,2,142.2
417,416,2,137.4
417,418,2,156.9
417,7011,2,125.2
418,417,2,156.9
418,1136,2,156.6
418,7038,2,139.8
425,260,2,61.2
439,303,2,46.7
439,440,2,161.4
440,302,2,97.1
440,303,2,115.5
440,439,2,161.4
440,441,2,79.4
441,302,2,18.8
441,440,2,79.4
442,300,2,69.4
442,301,2,50.5
442,443,2,122.1
443,300,2,54.2
443,442,2,122.1
444,298,2,104.2
444,299,2,91.4
445,297,2,83.2
445,298,2,85.2
446,297,2,145.6
446,5207,2,134.3
450,1008,2,150.6
450,1025,2,57.1
455,226,2,128.7
458,105,2,134.3
458,152,2,158.2
458,156,2,43.9
458,196,2,30.7
459,1535,2,95.6
459,1551,2,57.7
459,1656,2,116.6
465,1029,2,79.6
465,2331,2,55.6
465,2357,2,69.7
466,518,2,21.6
467,468,2,158.6
467,517,2,19.3
468,467,2,158.6
468,516,2,20.7
469,515,2,15.3
470,514,2,77.6
471,513,2,50.6
471,2326,2,143.6
472,511,2,37.8
472,2326,2,152.0
472,2358,2,105.3
473,510,2,59.8
474,508,2,153.3
474,509,2,35.6
475,508,2,52.9
476,507,2,27.7
477,506,2,32.8
478,505,2,20.5
478,4134,2,163.2
480,503,2,28.5
481,502,2,39.4
482,501,2,31.7
483,500,2,21.1
483,2469,2,95.0
485,498,2,90.3
486,497,2,106.6
486,2543,2,97.5
487,2071,2,102.1
488,2070,2,76.1
489,287,2,119.7
490,2068,2,120.6
491,2066,2,59.7
492,2065,2,51.7
493,2064,2,34.3
494,2063,2,155.6
494,2064,2,140.6
494,6508,2,91.3
497,486,2,106.6
497,2543,2,106.5
498,485,2,90.3
500,483,2,21.1
500,2469,2,75.6
501,482,2,31.7
502,481,2,39.4
503,480,2,28.5
504,172,2,115.1
504,4250,2,76.0
505,478,2,20.5
506,477,2,32.8
507,476,2,27.7
508,474,2,153.3
508,475,2,52.9
509,474,2,35.6
510,473,2,59.8
511,472,2,37.8
511,2326,2,150.4
511,2358,2,108.9
513,471,2,50.6
513,2326,2,112.9
513,2358,2,123.4
514,470,2,77.6
515,469,2,15.3
516,468,2,20.7
517,467,2,19.3
518,466,2,21.6
519,1711,2,131.4
519,2254,2,131.6
521,2256,2,116.2
521,2257,2,42.9
526,7011,2,151.3
528,118,2,98.8
528,119,2,83.0
528,328,2,120.9
528,7037,2,129.9
532,607,2,33.4
533,606,2,154.4
536,603,2,118.9
537,5328,2,138.1
544,1283,2,33.1
545,596,2,18.5
547,548,2,161.6
